id,name,H,A,B,C,D,S,T
1,フシギダネ,45,49,49,65,65,45,318
2,フシギソウ,60,62,63,80,80,60,405
3,フシギバナ,80,82,83,100,100,80,525
4,ヒトカゲ,39,52,43,60,50,65,309
5,リザード,58,64,58,80,65,80,405
6,リザードン,78,84,78,109,85,100,534
7,ゼニガメ,44,48,65,50,64,43,314
8,カメール,59,63,80,65,80,58,405
9,カメックス,79,83,100,85,105,78,530
10,キャタピー,45,30,35,20,20,45,195
11,トランセル,50,20,55,25,25,30,205
12,バタフリー,60,45,50,90,80,70,395
25,ピカチュウ,35,55,40,50,50,90,320
26,ライチュウ,60,90,55,90,80,110,485
26,ライチュウ(アローラのすがた),60,85,50,95,85,110,485
27,サンド,50,75,85,20,30,40,300
27,サンド(アローラのすがた),50,75,90,10,35,40,300
28,サンドパン,75,100,110,45,55,65,450
28,サンドパン(アローラのすがた),75,100,120,25,65,65,450
29,ニドラン♀,55,47,52,40,40,41,275
30,ニドリーナ,70,62,67,55,55,56,365
31,ニドクイン,90,92,87,75,85,76,505
32,ニドラン♂,46,57,40,40,40,50,273
33,ニドリーノ,61,72,57,55,55,65,365
34,ニドキング,81,102,77,85,75,85,505
35,ピッピ,70,45,48,60,65,35,323
36,ピクシー,95,70,73,95,90,60,483
37,ロコン,38,41,40,50,65,65,299
37,ロコン(アローラのすがた),38,41,40,50,65,65,299
38,キュウコン,73,76,75,81,100,100,505
38,キュウコン(アローラのすがた),73,67,75,81,100,109,505
39,プリン,115,45,20,45,25,20,270
40,プクリン,140,70,45,85,50,45,435
41,ズバット,40,45,35,30,40,55,245
42,ゴルバット,75,80,70,65,75,90,455
43,ナゾノクサ,45,50,55,75,65,30,320
44,クサイハナ,60,65,70,85,75,40,395
45,ラフレシア,75,80,85,110,90,50,490
50,ディグダ,10,55,25,35,45,95,265
50,ディグダ(アローラのすがた),10,55,30,35,45,90,265
51,ダグトリオ,35,100,50,50,70,120,425
51,ダグトリオ(アローラのすがた),35,100,60,50,70,110,425
52,ニャース,40,45,35,40,40,90,290
52,ニャース(アローラのすがた),40,35,35,50,40,90,290
52,ニャース(ガラルのすがた),50,65,55,40,40,40,290
53,ペルシアン,65,70,60,65,65,115,440
53,ペルシアン(アローラのすがた),65,60,60,75,65,115,440
54,コダック,50,52,48,65,50,55,320
55,ゴルダック,80,82,78,95,80,85,500
58,ガーディ,55,70,45,70,50,60,350
59,ウインディ,90,110,80,100,80,95,555
60,ニョロモ,40,50,40,40,40,90,300
